thickness,crossplane,r,x,y,t
1e-09,1.03101,0.0,2,2,300
1.25893e-09,1.20281,0.0,2,2,300
1.58489e-09,1.39098,0.0,2,2,300
1.99526e-09,1.59425,0.0,2,2,300
2.51189e-09,1.8109,0.0,2,2,300
3.16228e-09,2.03879,0.0,2,2,300
3.98107e-09,2.27557,0.0,2,2,300
5.01187e-09,2.51877,0.0,2,2,300
6.30957e-09,2.76595,0.0,2,2,300
7.94328e-09,3.01482,0.0,2,2,300
1e-08,3.26336,0.0,2,2,300
1.25893e-08,3.50984,0.0,2,2,300
1.58489e-08,3.7529,0.0,2,2,300
1.99526e-08,3.99154,0.0,2,2,300
2.51189e-08,4.22514,0.0,2,2,300
3.16228e-08,4.4534,0.0,2,2,300
3.98107e-08,4.67632,0.0,2,2,300
5.01187e-08,4.89413,0.0,2,2,300
6.30957e-08,5.10723,0.0,2,2,300
7.94328e-08,5.31606,0.0,2,2,300
1e-07,5.52104,0.0,2,2,300
1.25893e-07,5.72248,0.0,2,2,300
1.58489e-07,5.9205,0.0,2,2,300
1.99526e-07,6.115,0.0,2,2,300
2.51189e-07,6.30562,0.0,2,2,300
3.16228e-07,6.49182,0.0,2,2,300
3.98107e-07,6.67289,0.0,2,2,300
5.01187e-07,6.84801,0.0,2,2,300
6.30957e-07,7.0163,0.0,2,2,300
7.94328e-07,7.17689,0.0,2,2,300
1e-06,7.32894,0.0,2,2,300
1.25893e-06,7.47167,0.0,2,2,300
1.58489e-06,7.60439,0.0,2,2,300
1.99526e-06,7.72656,0.0,2,2,300
2.51189e-06,7.83779,0.0,2,2,300
3.16228e-06,7.9379,0.0,2,2,300
3.98107e-06,8.02695,0.0,2,2,300
5.01187e-06,8.10522,0.0,2,2,300
6.30957e-06,8.17319,0.0,2,2,300
7.94328e-06,8.23155,0.0,2,2,300
1e-05,8.28112,0.0,2,2,300
1.25893e-05,8.3228,0.0,2,2,300
1.58489e-05,8.35754,0.0,2,2,300
1.99526e-05,8.38625,0.0,2,2,300
2.51189e-05,8.40983,0.0,2,2,300
3.16228e-05,8.42908,0.0,2,2,300
3.98107e-05,8.44471,0.0,2,2,300
5.01187e-05,8.45735,0.0,2,2,300
6.30957e-05,8.46754,0.0,2,2,300
7.94328e-05,8.47573,0.0,2,2,300
0.0001,8.48229,0.0,2,2,300
1e-09,1.03101,0.0,2,2,400
1.25893e-09,1.20281,0.0,2,2,400
1.58489e-09,1.39098,0.0,2,2,400
1.99526e-09,1.59425,0.0,2,2,400
2.51189e-09,1.8109,0.0,2,2,400
3.16228e-09,2.03879,0.0,2,2,400
3.98107e-09,2.27557,0.0,2,2,400
5.01187e-09,2.51877,0.0,2,2,400
6.30957e-09,2.76595,0.0,2,2,400
7.94328e-09,3.01482,0.0,2,2,400
1e-08,3.26336,0.0,2,2,400
1.25893e-08,3.50984,0.0,2,2,400
1.58489e-08,3.7529,0.0,2,2,400
1.99526e-08,3.99154,0.0,2,2,400
2.51189e-08,4.22514,0.0,2,2,400
3.16228e-08,4.4534,0.0,2,2,400
3.98107e-08,4.67632,0.0,2,2,400
5.01187e-08,4.89413,0.0,2,2,400
6.30957e-08,5.10723,0.0,2,2,400
7.94328e-08,5.31606,0.0,2,2,400
1e-07,5.52104,0.0,2,2,400
1.25893e-07,5.72248,0.0,2,2,400
1.58489e-07,5.9205,0.0,2,2,400
1.99526e-07,6.115,0.0,2,2,400
2.51189e-07,6.30562,0.0,2,2,400
3.16228e-07,6.49182,0.0,2,2,400
3.98107e-07,6.67289,0.0,2,2,400
5.01187e-07,6.84801,0.0,2,2,400
6.30957e-07,7.0163,0.0,2,2,400
7.94328e-07,7.17689,0.0,2,2,400
1e-06,7.32894,0.0,2,2,400
1.25893e-06,7.47167,0.0,2,2,400
1.58489e-06,7.60439,0.0,2,2,400
1.99526e-06,7.72656,0.0,2,2,400
2.51189e-06,7.83779,0.0,2,2,400
3.16228e-06,7.9379,0.0,2,2,400
3.98107e-06,8.02695,0.0,2,2,400
5.01187e-06,8.10522,0.0,2,2,400
6.30957e-06,8.17319,0.0,2,2,400
7.94328e-06,8.23155,0.0,2,2,400
1e-05,8.28112,0.0,2,2,400
1.25893e-05,8.3228,0.0,2,2,400
1.58489e-05,8.35754,0.0,2,2,400
1.99526e-05,8.38625,0.0,2,2,400
2.51189e-05,8.40983,0.0,2,2,400
3.16228e-05,8.42908,0.0,2,2,400
3.98107e-05,8.44471,0.0,2,2,400
5.01187e-05,8.45735,0.0,2,2,400
6.30957e-05,8.46754,0.0,2,2,400
7.94328e-05,8.47573,0.0,2,2,400
0.0001,8.48229,0.0,2,2,400
1e-09,1.03101,0.0,2,2,500
1.25893e-09,1.20281,0.0,2,2,500
1.58489e-09,1.39098,0.0,2,2,500
1.99526e-09,1.59425,0.0,2,2,500
2.51189e-09,1.8109,0.0,2,2,500
3.16228e-09,2.03879,0.0,2,2,500
3.98107e-09,2.27557,0.0,2,2,500
5.01187e-09,2.51877,0.0,2,2,500
6.30957e-09,2.76595,0.0,2,2,500
7.94328e-09,3.01482,0.0,2,2,500
1e-08,3.26336,0.0,2,2,500
1.25893e-08,3.50984,0.0,2,2,500
1.58489e-08,3.7529,0.0,2,2,500
1.99526e-08,3.99154,0.0,2,2,500
2.51189e-08,4.22514,0.0,2,2,500
3.16228e-08,4.4534,0.0,2,2,500
